,hospital_name,payer_name,plan_name,code_type,raw_code,description,setting,standard_charge_methodology,additional_payer_notes,standard_charge_gross,standard_charge_discounted_cash,standard_charge_negotiated_dollar,standard_charge_negotiated_percentage,standard_charge_min,standard_charge_max,Notes
250,NYU Langone,bcbs,bcbsnysempire1683,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,2738.0,,,,
251,NYU Langone,bcbs,bcbshmo1184,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,6034.0,,,,
252,NYU Langone,hip,ghihmo1071,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,32829.5,6237.61,10932.22,33.3,,,
253,NYU Langone,healthfirst,healthfirstlifeimprovedplan1918,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,Fixed Rate.,1464.39,278.23,6034.0,,,,
254,NYU Langone,bcbs,bcbsnysempire1683,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,2182.13,414.6,2738.0,,,,
255,NYU Langone,medicare,metroplusmedicare1401,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,2738.0,,,,
256,NYU Langone,hip,emblemselectcareppo 3870,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",,,6034.0,,,,
257,NYU Langone,medicare,aetnamedicaremanagedcare1007,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,6034.0,,,,
258,NYU Langone,bcbs,bcbsepo1181,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,32829.5,6237.61,10932.22,33.3,,,
259,NYU Langone,somos,bcbshealthplussomosessentialplan33784,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,29907.0,,,,
260,NYU Langone,hip,ghihmo1071,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,1464.39,278.23,6034.0,,,,
261,NYU Langone,bcbs,bcbshealthynewyork1183,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,5106.17,970.17,2738.0,,,,
262,NYU Langone,bcbs,bcbsoutofstatepos(nosuitcaselogo)2071,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,32829.5,6237.61,10932.22,33.3,,,
263,NYU Langone,medicare,humanamedicareadvantage1680,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,29907.0,,,,
264,NYU Langone,bcbs,bcbsopenaccessppo(hbonly)1467,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,6034.0,,,,
265,NYU Langone,aetna,aetnapos1009,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of applies when negotiated rates exceed charges less addons.,2182.13,414.6,2738.0,,,,
266,NYU Langone,medicare,riverspringmedicarehmosnp3900,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,5106.17,970.17,2738.0,,,,
267,NYU Langone,medicaid,partnershealthplanmltc3390,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,2738.0,,,,
268,NYU Langone,hip,emblemcmoessential13016,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",5106.17,970.17,2738.0,,,,
269,NYU Langone,cigna,cignagreatwestppo1442,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",32829.5,6237.61,10932.22,33.3,,,
270,NYU Langone,cigna,cignahmo1403,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,2738.0,,,,
271,NYU Langone,medicare,wtchealthprogram-nyu1482,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,17412.69,73.0,,,
272,NYU Langone,medicare,seniorwholehealthofnybymolina1390,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,1069.0,73.0,,,
273,NYU Langone,magnacare,magnacareppo1175,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. All diagnostic and evaluation services except MRI and CT Scans will be paid as add-ons. Lesser of 100% of billed charges applies.,32829.5,6237.61,13788.39,42.0,,,
274,NYU Langone,hip,hipvipmedicare-affinity1608,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,2102.05,,,,
275,NYU Langone,healthfirst,healthfirstbronzeleafexchange1806,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,225% of NYS APG. Lesser of 100% of billed charges applies.,32829.5,6237.61,13788.39,42.0,,,
276,NYU Langone,uhc,umr1323,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,24149.58,,,,
277,NYU Langone,metroplus,metropluschildhealthplus1115,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100 Percent of Medicaid APG.,,,1872.86,,,,
278,NYU Langone,metroplus,metroplusgoldcare23729,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,1872.86,,,,
279,NYU Langone,hip,emblemcmoessential33018,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,,,,,
280,NYU Langone,bcbs,empireoptum1684,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,5106.17,970.17,,,,,
281,NYU Langone,aetna,chesterfieldresourcesinc1641,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of applies when negotiated rates exceed charges less addons.,32829.5,6237.61,9136.45,27.83,,,
282,NYU Langone,bcbs,bcbsindemnity1185,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,1464.39,278.23,1872.86,,,,
283,NYU Langone,hip,emblemselectcareepo3888,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,,,,,
284,NYU Langone,hip,emblemcmoessential33018,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,1872.86,,,,
285,NYU Langone,healthfirst,healthfirstessentialplan31784,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,Paid at $165. Paid once per service date and lesser of 100% of billed charges.,2182.13,414.6,,,,,
286,NYU Langone,healthfirst,healthfirstsilverleafexchange1802,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,225% of NYS APG. Lesser of 100% of billed charges applies.,32829.5,6237.61,9136.45,27.83,,,
287,NYU Langone,medicare,bcbsmedibluemedicarehmo1191,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,,,,,
288,NYU Langone,hip,emblemselectcaregoldexchange3720,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,5106.17,970.17,,,,,
289,NYU Langone,hip,hipcomprehealth1270,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,32829.5,6237.61,9136.45,27.83,,,
290,NYU Langone,hip,hipaccessi1265,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,1464.39,278.23,1872.86,,,,
291,NYU Langone,centerlight,centerlightdirect1788,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,102% of Medicare OPPS.,2182.13,414.6,,,,,
292,NYU Langone,bcbs,bcbspos1188,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,5106.17,970.17,1.0,,,,
293,NYU Langone,hip,hipppo3865,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,1872.86,,,,
294,NYU Langone,medicare,agewellmedicare1630,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,1872.86,,,,
295,NYU Langone,medicare,partnershealthplanmedicare(hbonly)1686,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,,,,,
296,NYU Langone,healthfirst,healthfirstlifeimprovedplan1918,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,1290.19,,,,
297,NYU Langone,aetna,allied3025,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,5106.17,970.17,1.0,,,,
298,NYU Langone,medicare,partnershealthplanmedicare3365,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,,,,,
299,NYU Langone,healthfirst,healthfirstabsolutecarefida1921,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,1872.86,,,,
300,NYU Langone,hamaspikchoice,hamaspikchoicemedicaredsnp3853,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,5106.17,970.17,,,,,
301,NYU Langone,cigna,cignaindemnity1045,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,32829.5,6237.61,9136.45,27.83,,,
302,NYU Langone,bcbs,bcbsghicomposite1439,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,5106.17,970.17,,,,,
303,NYU Langone,metroplus,metroplusmcdmanagedcare1117,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100 Percent of Medicaid APG.,,,2341.08,,,,
304,NYU Langone,aetna,aetnaopenaccesselectchoice(epo)1415,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of applies when negotiated rates exceed charges less addons.,32829.5,6237.61,9136.45,27.83,,,
305,NYU Langone,somos,hipmcdenhanced-essential4(somos)3794,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,2341.08,,,,
306,NYU Langone,medicare,bcbsmedibluemedicarehmo(hcp)3341,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,5106.17,970.17,1.0,,,,
307,NYU Langone,uhc,unitedhealthcarenavigate1404,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,32829.5,6237.61,9136.45,27.83,,,
308,NYU Langone,centerlight,centerlightselect1789,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,102% of Medicare OPPS.,,,2341.08,,,,
309,NYU Langone,aetna,aetnameritainhealth1444,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". Primary procedure pays at 100%, secondary at 50%, all subsequent at 25%.  Lesser of applies when negotiated rates exceed charges less addons.",2182.13,414.6,1.0,,,,
310,NYU Langone,healthfirst,healthfirstchildhealthplus1080,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,Paid at $165. Paid once per service date and lesser of 100% of billed charges.,5106.17,970.17,1.0,,,,
311,NYU Langone,healthfirst,healthfirstsilverleafexchange1802,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,225% of NYS APG. Lesser of 100% of billed charges applies.,1464.39,278.23,1290.19,,,,
312,NYU Langone,medicare,unitedhealthcareinsaarp1152,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,1.0,,,,
313,NYU Langone,medicare,aetnamedicaremanagedcare1007,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,1.0,,,,
314,NYU Langone,healthfirst,healthfirstbronzeleafexchange1806,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,225% of NYS APG. Lesser of 100% of billed charges applies.,,,1290.19,,,,
315,NYU Langone,hip,emblemcmoessential43019,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,1.0,,,,
316,NYU Langone,magnacare,americanplanadministrators(magnacare)1735,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. All diagnostic and evaluation services except MRI and CT Scans will be paid as add-ons. Lesser of 100% of billed charges applies.,32829.5,6237.61,3611.24,11.0,,,
317,NYU Langone,cigna,cignamanagedcare/pos1046,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",1464.39,278.23,1290.19,,,,
318,NYU Langone,uhc,unitedhealthcarechoice1291,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,2182.13,414.6,1.0,,,,
319,NYU Langone,hip,hiphmo1097,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,5106.17,970.17,1.0,,,,
320,NYU Langone,healthfirst,healthfirstplatinumleafexchange1808,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,225% of NYS APG. Paid once per service date and lesser of 100% of billed charges.,,,,84.0,,,
321,NYU Langone,medicare,veteranschoiceprogram-vacaa3662,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,1230.09,84.0,,,
322,NYU Langone,medicare,agewellmedicare1630,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,1832.99,84.0,,,
323,NYU Langone,healthfirst,healthfirstplatinumleafexchange1808,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,225% of NYS APG. Lesser of 100% of billed charges applies.,,,78252.01,84.0,,,
324,NYU Langone,centerlight,centerlightdirect1788,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,102% of Medicare OPPS.,,,,84.0,,,
325,NYU Langone,medicare,bcbsoutofstatemedicare(nosuitcaselogo)2070,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,1230.09,84.0,,,
326,NYU Langone,hip,emblemselectcare(healthcarepartners)3024,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of PAS. Lesser of 100% of billed charges applies.,2182.13,414.6,1832.99,84.0,,,
327,NYU Langone,ghi,ghiemblemhealthmedicarehmo1072,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,32829.5,6237.61,27576.78,84.0,,,
328,NYU Langone,medicare,vnsmedicareltcplus(hbonly)1386,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,78252.01,84.0,,,
329,NYU Langone,metroplus,metroplusbronzeplusplanexchange1625,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,198 Percent of Medicare OPPS. Metroplus will reimburse unlisted codes and described codes with no Medicare rate at 50 percent of charges.,1464.39,278.23,11671.0,,,,
330,NYU Langone,medicare,wtchealthprogram-umdny/rutgers1488,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,3364.0,,,,
331,NYU Langone,magnacare,magnacareppo1175,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/75/50% all add ons apply, and lesser of 100% of billed charges",,,28220.53,,,,
332,NYU Langone,ghi,ghivalueoptionsbehavioralmgmtbmpalt3354,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,"120 Percent of Medicaid APG. Not APG payable, or payable under another fee schedule like ASP/AWP pays at 30% of charges",,,11671.0,,,,
333,NYU Langone,magnacare,employeessecurityfund2058,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/75/50% all add ons apply, and lesser of 100% of billed charges",32829.5,6237.61,14773.27,45.0,,,
334,NYU Langone,aetna,coresource1642,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". Primary procedure pays at 100%, secondary at 50%, all subsequent at 25%.  Lesser of applies when negotiated rates exceed charges less addons.",,,28220.53,,,,
335,NYU Langone,bcbs,bcbsghicomposite1439,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,2182.13,414.6,3364.0,,,,
336,NYU Langone,ghi,ghiemblemhealthmedicareppo1074,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,3364.0,,,,
337,NYU Langone,medicare,aarpmedicarecomplete1632,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,11671.0,,,,
338,NYU Langone,centerlight,centerlightselect1789,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,102% of Medicare OPPS.,5106.17,970.17,3364.0,,,,
339,NYU Langone,wellcare,wellcaremedicare1171,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,11671.0,,,,
340,NYU Langone,hip,hipvipmedicare(heathcarepartners)1365,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,3364.0,,,,
341,NYU Langone,aetna,aetnappo1010,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". Primary procedure pays at 100%, secondary at 50%, all subsequent at 25%.  Lesser of applies when negotiated rates exceed charges less addons.",,,28220.53,,,,
342,NYU Langone,medicare,riverspringmedicarehmosnp3900,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,1464.39,278.23,11671.0,,,,
343,NYU Langone,hip,hipvipmedicarebold3069,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,2182.13,414.6,3364.0,,,,
344,NYU Langone,bcbs,empireplan/valueoptions1317,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,5106.17,970.17,3364.0,,,,
345,NYU Langone,aetna,christianbrothers1640,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". Primary procedure pays at 100%, secondary at 50%, all subsequent at 25%.  Lesser of applies when negotiated rates exceed charges less addons.",,,28220.53,,,,
346,NYU Langone,hip,emblemcmoessential33018,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",,,11671.0,,,,
347,NYU Langone,hip,emblemessentialplan42062,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,"100 Percent of Medicaid APG. Not APG payable, or payable under another fee schedule like ASP/AWP pays at 30% of charges",1464.39,278.23,11671.0,,,,
348,NYU Langone,centerlight,centerlightpace1790,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,102% of Medicare OPPS.,2182.13,414.6,3364.0,,,,
349,NYU Langone,bcbs,bcbsoutofstatepos(nosuitcaselogo)2071,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,32829.5,6237.61,14773.27,45.0,,,
350,NYU Langone,hip,hipaccessii1266,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,,,1037.64,,,,
351,NYU Langone,healthfirst,healthfirstabsolutecarefida1921,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,Fixed Rate.,2182.13,414.6,326.6,,,,
352,NYU Langone,bcbs,bcbsout/stateepo1213,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,10076.87,,,,
353,NYU Langone,hip,emblemselectcarebronzesg3857,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,1037.64,,,,
354,NYU Langone,medicaid,vnsnychoiceselecthealth3023,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,225% of NYS APG. Paid once per service date and lesser of 100% of billed charges.,1464.39,278.23,1037.64,,,,
355,NYU Langone,1199,local1199seiuhomecarebenefitfund2778,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,"120 Percent of Medicaid APG. Not APG payable, or payable under another fee schedule like ASP/AWP pays at 30% of charges",2182.13,414.6,326.6,,,,
356,NYU Langone,hip,emblemprimesilver3314,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,"100 Percent of Medicaid APG. Not APG payable, or payable under another fee schedule like ASP/AWP pays at 30% of charges",,,10076.87,,,,
357,NYU Langone,bcbs,bcbsblueaccessgeposmallgroup3705,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,2182.13,414.6,3364.0,,,,
358,NYU Langone,uhc,unitedhealthcarepos1159,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% all add ons apply, and lesser of 100% of billed charges",,,28220.53,,,,
359,NYU Langone,medicare,beaconhealthexchangeplan(hbonly)1760,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,5106.17,970.17,326.6,,,,
360,NYU Langone,medicare,partnershealthplanfida3389,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,32829.5,6237.61,,,,,
361,NYU Langone,healthplus,bcbspathwayxenhanced3360,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,10076.87,,,,
362,NYU Langone,hip,hiphealthplanofny1095,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,2182.13,414.6,654.64,30.0,,,
363,NYU Langone,medicare,bcbshealthplusmediblueadvantage3889,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,,,11671.0,,,,
364,NYU Langone,centerlight,centerlightpacemedicarehmo1880,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,102% of Medicare OPPS.,32829.5,6237.61,14773.27,45.0,,,
365,NYU Langone,hip,emblemselectcaregoldexchange3720,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,2182.13,414.6,3364.0,,,,
366,NYU Langone,metroplus,metroplusessentialplan42052,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,100 Percent of Medicaid APG.,32829.5,6237.61,13788.39,42.0,,,
367,NYU Langone,hip,hiphmo(cohort2hcp)3371,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,861.24,,,,
368,NYU Langone,hip,emblemselectcaregoldexchange1611,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,5106.17,970.17,220.5,,,,
369,NYU Langone,bcbs,bluecrossblueshieldpriorityppo1693,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,,,861.24,,,,
370,NYU Langone,aetna,wellnet1755,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,. Lesser of applies when negotiated rates exceed charges less addons.,2182.13,414.6,220.5,,,,
371,NYU Langone,cigna,cignagreatwestppo1442,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,". MPL 100/50/25% maxmium of 3 procedures. All add ons apply, and lesser of 100% of billed charges",,,10076.87,,,,
372,NYU Langone,hip,emblemselectcaregoldsg3860,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,225 Percent of Medicaid APG.,1464.39,278.23,861.24,,,,
373,NYU Langone,medicare,vnsmedicareltcplus(hbonly)1386,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,100% of Medicare OPPS.,,,2341.08,,,,
374,NYU Langone,hip,hiphmo1097,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,.,2182.13,414.6,1.0,,,,
375,NYU Langone,hip,emblemessentialplan42062,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,"100 Percent of Medicaid APG. Not APG payable, or payable under another fee schedule like ASP/AWP pays at 30% of charges",1464.39,278.23,446.75,,,,
376,NYU Langone,hip,hipchildhealthplus1096,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,"100 Percent of Medicaid APG. Not APG payable, or payable under another fee schedule like ASP/AWP pays at 30% of charges",1464.39,278.23,861.24,,,,
377,NYU Langone,hip,hippos1100,CPT,43239,HC UGI W BX. SGL/MULTIPLE,both,Case Rate,237 percent of Medicare RBRVS.,2182.13,414.6,220.5,,,,
378,NYU Langone,hip,hiphealthplanofny1095,CPT,99283,HC EMERG DEPT F/U VISIT LVL 3,both,Case Rate,.,5106.17,970.17,220.5,,,,
379,NYU Langone,bcbs,bcbsopenaccessppo(hbonly)1467,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,. All Add ons apply except drugs and lesser of 100% of billed charges.,,,2341.08,,,,
380,NYU Langone,fidelis,fidelisessentialplan12014,CPT,43239,EGD BIOPSY SINGLE/MULTIPLE,both,Case Rate,225 Percent of Medicaid APG. Covered services not payable under Medicaid Fee Schedules default to a payment of 87.5 percent of charges.,2182.13,414.6,1.0,,,,
381,NYU Langone,uhc,unitedhealthcarechoice1291,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,5106.17,970.17,1.0,,,,
382,NYU Langone,medicare,veteranschoiceprogram-vacaa3662,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,. Lesser of 100% of billed charges applies.,32829.5,6237.61,,,,,
383,NYU Langone,somos,bcbshealthplussomosessentialplan33784,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,100% of Medicare OPPS.,1464.39,278.23,,,,,
384,NYU Langone,hip,hipvipmedicarebold3069,CPT,99283,HC EMERGENCY DEPT VISIT LVL 3,both,Case Rate,.,32829.5,6237.61,,,,,
